Original Concession Category,Clarified Concession Category
Bright Foundation 8000 adm fee,Bright Foundation - 8000 concession on Admission Fee
Sibling Concession 15%,Sibling Concession - 15% discount on applicable fee
Juniors Admission fee Con 4000,TSH Juniors Admission Fee Concession - 4000 off
Juniors Admission fee Con 4000,TSH Juniors Admission Fee Concession - 4000 off
Juniors Admission fee Con 4000,TSH Juniors Admission Fee Concession - 4000 off
Juniors Admission fee Con 4000,TSH Juniors Admission Fee Concession - 4000 off
Juniors Admission fee Con 4000,TSH Juniors Admission Fee Concession - 4000 off
Sibling Concession 15%,Sibling Concession - 15% discount on applicable fee
Juniors Admission fee Con 4000,TSH Juniors Admission Fee Concession - 4000 off
Juniors Admission fee Con 2000,Juniors Admission Fee Con 2000
Juniors Admission fee Con 4000,TSH Juniors Admission Fee Concession - 4000 off
Staff Concession 1500,Staff Concession 1500
Sibling Concession 15%,Sibling Concession - 15% discount on applicable fee
Sibling Concession 15%,Sibling Concession - 15% discount on applicable fee
Sibling Concession 15%,Sibling Concession - 15% discount on applicable fee
Sibling Concession 15%,Sibling Concession - 15% discount on applicable fee
Sibling Concession 15%,Sibling Concession - 15% discount on applicable fee
Sibling Concession 15%,Sibling Concession - 15% discount on applicable fee
Sibling Concession 15%,Sibling Concession - 15% discount on applicable fee
Juniors Admission fee Con 4000,TSH Juniors Admission Fee Concession - 4000 off
Juniors Admission fee Con 4000,TSH Juniors Admission Fee Concession - 4000 off
Juniors Admission fee Con 4000,TSH Juniors Admission Fee Concession - 4000 off
Staff Concession 1500,Staff Concession 1500
Staff Concession 1500,Staff Concession 1500
Staff Concession 1500,Staff Concession 1500
Staff Concession 1500,Staff Concession 1500
Staff Concession 1500,Staff Concession 1500
Staff Concession 1500,Staff Concession 1500
Staff Concession 1500,Staff Concession 1500
Staff Concession 1500,Staff Concession 1500
Staff Concession 1500,Staff Concession 1500
Staff Concession 1500,Staff Concession 1500
Staff Concession 1500,Staff Concession 1500
Staff Concession 1500,Staff Concession 1500
Staff Concession 1500,Staff Concession 1500
Staff Concession 1500,Staff Concession 1500
Staff Concession 1500,Staff Concession 1500
Staff Concession 1500,Staff Concession 1500
Staff Concession 1500,Staff Concession 1500
Staff Concession 1500,Staff Concession 1500
Staff Concession 1500,Staff Concession 1500
Staff Concession 1500,Staff Concession 1500
Staff Concession 1500,Staff Concession 1500
Staff Concession 1500,Staff Concession 1500
Staff Concession 1500,Staff Concession 1500
Bright Foundation 8000 adm fee,Bright Foundation - 8000 concession on Admission Fee
Advance Fee Deposit Discount 4000 ,Advance Fee Deposit Discount 4000
Staff Concession 1500,Staff Concession 1500
Sibling Concession 15%,Sibling Concession - 15% discount on applicable fee
Sibling Concession 15%,Sibling Concession - 15% discount on applicable fee
Sibling Concession 15%,Sibling Concession - 15% discount on applicable fee
Sibling Concession 15%,Sibling Concession - 15% discount on applicable fee
Sibling Concession 15%,Sibling Concession - 15% discount on applicable fee
Sibling Concession 15%,Sibling Concession - 15% discount on applicable fee
Sibling Concession 15%,Sibling Concession - 15% discount on applicable fee
School Concession 20%,School Concession 20%
School Concession 20%,School Concession 20%
Staff Concession 1500,Staff Concession 1500
