Invoice Id,Transaction,Payment,Admission No,Head,Term,Amount,Payment Mode,Collected By,Reference No.
3569,05-08-2025,05-08-2025,10003285,Tuition Fees,September + October,9000,Wallet/UPI/QR,Amit,222
3568,05-08-2025,05-08-2025,10001512,Tuition Fees,July + August,6800,NEFT Payment,Amit,222
3567,05-08-2025,05-08-2025,10001946,Tuition Fees,July + August,8600,NEFT Payment,Amit,sbi
3566,05-08-2025,05-08-2025,10001697,Tuition Fees,September + October,9000,NEFT Payment,Amit,SBI
3565,05-08-2025,05-08-2025,10001698,Tuition Fees,September + October,6800,NEFT Payment,Amit,SBI
3563,05-08-2025,05-08-2025,10002991,Tuition Fees,July + August,8000,NEFT Payment,Amit,SBI
3562,05-08-2025,05-08-2025,10002559,Annual Fund,April,5000,Credit/Debit Card,Inderjeet,8556
3562,05-08-2025,05-08-2025,10002559,Term Charges,April,4000,Credit/Debit Card,Inderjeet,8556
3562,05-08-2025,05-08-2025,10002559,CAPS Workshop,April,2000,Credit/Debit Card,Inderjeet,8556
3562,05-08-2025,05-08-2025,10002559,Tuition Fees,April,4500,Credit/Debit Card,Inderjeet,8556
3562,05-08-2025,05-08-2025,10002559,Parent Orientation,April,1000,Credit/Debit Card,Inderjeet,8556
3561,05-08-2025,05-08-2025,10001581,Tuition Fees,July + August,8000,Credit/Debit Card,Inderjeet,5464
3560,05-08-2025,05-08-2025,10002253,Tuition Fees,July + August,5950,Credit/Debit Card,Inderjeet,464564
3559,05-08-2025,05-08-2025,10002092,Tuition Fees,September + October,7600,ONLINE,,E2508050KD27Z1
3558,05-08-2025,05-08-2025,10001147,Tuition Fees,May + June,3000,Cash,Amit,
3557,05-08-2025,05-08-2025,10002618,Tuition Fees,September + October,7600,ONLINE,,E2508050KD0LLD
3556,05-08-2025,05-08-2025,10002638,Tuition Fees,September + October,5950,ONLINE,,E2508050KD0HBR
3555,05-08-2025,05-08-2025,10002044,Tuition Fees,July + August,6550,Wallet/UPI/QR,Amit,156
3554,05-08-2025,05-08-2025,10001873,Tuition Fees,July + August,7600,Wallet/UPI/QR,Amit,26
3553,05-08-2025,05-08-2025,10001340,Tuition Fees,July + August,8000,Wallet/UPI/QR,Amit,222
3552,05-08-2025,05-08-2025,10003278,Tuition Fees,September + October,7600,ONLINE,,E2508050KCUG94
3551,05-08-2025,05-08-2025,10003277,Tuition Fees,September + October,5950,ONLINE,,E2508050KCUB3O
3550,05-08-2025,05-08-2025,10001309,Tuition Fees,July + August,6820,Wallet/UPI/QR,Amit,6
3549,05-08-2025,05-08-2025,10001309,Tuition Fees,May + June,7000,Cash,Amit,
3549,05-08-2025,05-08-2025,10001309,Tuition Fees,July + August,1180,Cash,Amit,
3548,05-08-2025,05-08-2025,10003250,Tuition Fees,May + June,3500,Cash,Amit,
3548,05-08-2025,05-08-2025,10003250,Tuition Fees,July + August,3500,Cash,Amit,
3547,05-08-2025,05-08-2025,10001833,Tuition Fees,September + October,7600,ONLINE,,E2508050KCRCA4
