Sno,Admission Number,Fee Head,Fee Head,Fees Assigned,concession,Paid,Due
3,10003367,Admission Fee,WonderSkill Workshop,0,0,0,0
5,10003365,Admission Fee,WonderSkill Workshop,0,0,0,0
6,10003364,Admission Fee,WonderSkill Workshop,0,0,0,0
7,10003362,Admission Fee,WonderSkill Workshop,0,0,0,0
8,10003361,Admission Fee,WonderSkill Workshop,0,0,0,0
9,10003360,Admission Fee,WonderSkill Workshop,0,0,0,0
10,10003359,Admission Fee,WonderSkill Workshop,0,0,0,0
11,10003357,Admission Fee,WonderSkill Workshop,0,0,0,0
12,10003356,Admission Fee,WonderSkill Workshop,0,0,0,0
13,10003368,Admission Fee,WonderSkill Workshop,0,0,0,0
14,10003369,Admission Fee,WonderSkill Workshop,0,0,0,0
15,10003370,Admission Fee,WonderSkill Workshop,0,0,0,0
16,10003371,Admission Fee,WonderSkill Workshop,0,0,0,0
17,10003372,Admission Fee,WonderSkill Workshop,0,0,0,0
18,10003373,Admission Fee,WonderSkill Workshop,0,0,0,0
19,10003374,Admission Fee,WonderSkill Workshop,0,0,0,0
20,10003307,Admission Fee,WonderSkill Workshop,0,0,0,0
21,10003299,Admission Fee,WonderSkill Workshop,0,0,0,0
22,10003313,Admission Fee,WonderSkill Workshop,0,0,0,0
23,10003221,Admission Fee,WonderSkill Workshop,0,0,0,0
24,10000913,Admission Fee,WonderSkill Workshop,0,0,0,0
25,10001670,Admission Fee,WonderSkill Workshop,0,0,0,0
26,10001371,Admission Fee,WonderSkill Workshop,0,0,0,0
27,10002939,Admission Fee,WonderSkill Workshop,0,0,0,0
28,10001546,Admission Fee,WonderSkill Workshop,0,0,0,0
29,10001190,Admission Fee,WonderSkill Workshop,0,0,0,0
30,10000820,Admission Fee,WonderSkill Workshop,0,0,0,0
31,10000846,Admission Fee,WonderSkill Workshop,0,0,0,0
32,10000963,Admission Fee,WonderSkill Workshop,0,0,0,0
33,10001347,Admission Fee,WonderSkill Workshop,0,0,0,0
34,10000940,Admission Fee,WonderSkill Workshop,0,0,0,0
35,10001911,Admission Fee,WonderSkill Workshop,0,0,0,0
36,10001166,Admission Fee,WonderSkill Workshop,0,0,0,0
37,10000951,Admission Fee,WonderSkill Workshop,0,0,0,0
38,10000814,Admission Fee,WonderSkill Workshop,0,0,0,0
39,10000888,Admission Fee,WonderSkill Workshop,0,0,0,0
40,10001697,Admission Fee,WonderSkill Workshop,0,0,0,0
41,10001345,Admission Fee,WonderSkill Workshop,0,0,0,0
42,10001933,Admission Fee,WonderSkill Workshop,0,0,0,0
43,10003285,Admission Fee,WonderSkill Workshop,0,0,0,0
44,10003284,Admission Fee,WonderSkill Workshop,0,0,0,0
45,10001726,Admission Fee,WonderSkill Workshop,0,0,0,0
46,10000967,Admission Fee,WonderSkill Workshop,0,0,0,0
47,10001886,Admission Fee,WonderSkill Workshop,0,0,0,0
48,10000952,Admission Fee,WonderSkill Workshop,0,0,0,0
49,10003262,Admission Fee,WonderSkill Workshop,0,0,0,0
50,10000907,Admission Fee,WonderSkill Workshop,0,0,0,0
51,10000860,Admission Fee,WonderSkill Workshop,0,0,0,0
52,10001367,Admission Fee,WonderSkill Workshop,0,0,0,0
53,10001119,Admission Fee,WonderSkill Workshop,0,0,0,0
54,10003076,Admission Fee,WonderSkill Workshop,0,0,0,0
55,10001010,Admission Fee,WonderSkill Workshop,0,0,0,0
56,10001156,Admission Fee,WonderSkill Workshop,0,0,0,0
57,10000815,Admission Fee,WonderSkill Workshop,0,0,0,0
58,10000933,Admission Fee,WonderSkill Workshop,0,0,0,0
59,10001211,Admission Fee,WonderSkill Workshop,0,0,0,0
60,10000817,Admission Fee,WonderSkill Workshop,0,0,0,0
61,10003244,Admission Fee,WonderSkill Workshop,0,0,0,0
62,10000884,Admission Fee,WonderSkill Workshop,0,0,0,0
63,10001268,Admission Fee,WonderSkill Workshop,0,0,0,0
64,10000898,Admission Fee,WonderSkill Workshop,0,0,0,0
65,10001075,Admission Fee,WonderSkill Workshop,0,0,0,0
66,10001437,Admission Fee,WonderSkill Workshop,0,0,0,0
67,10001231,Admission Fee,WonderSkill Workshop,0,0,0,0
68,10003302,Admission Fee,WonderSkill Workshop,0,0,0,0
69,10003287,Admission Fee,WonderSkill Workshop,0,0,0,0
70,10001187,Admission Fee,WonderSkill Workshop,0,0,0,0
71,10003109,Admission Fee,WonderSkill Workshop,0,0,0,0
72,10003276,Admission Fee,WonderSkill Workshop,0,0,0,0
73,10001228,Admission Fee,WonderSkill Workshop,0,0,0,0
74,10001017,Admission Fee,WonderSkill Workshop,0,0,0,0
75,10000882,Admission Fee,WonderSkill Workshop,0,0,0,0
76,10001152,Admission Fee,WonderSkill Workshop,0,0,0,0
77,10001401,Admission Fee,WonderSkill Workshop,0,0,0,0
78,10000938,Admission Fee,WonderSkill Workshop,0,0,0,0
79,10001059,Admission Fee,WonderSkill Workshop,0,0,0,0
80,10000924,Admission Fee,WonderSkill Workshop,0,0,0,0
81,10000842,Admission Fee,WonderSkill Workshop,0,0,0,0
82,10001149,Admission Fee,WonderSkill Workshop,0,0,0,0
83,10000965,Admission Fee,WonderSkill Workshop,0,0,0,0
84,10000941,Admission Fee,WonderSkill Workshop,0,0,0,0
85,10002883,Admission Fee,WonderSkill Workshop,0,0,0,0
86,10001057,Admission Fee,WonderSkill Workshop,0,0,0,0
87,10000818,Admission Fee,WonderSkill Workshop,0,0,0,0
88,10000939,Admission Fee,WonderSkill Workshop,0,0,0,0
89,10002492,Admission Fee,WonderSkill Workshop,0,0,0,0
90,10001251,Admission Fee,WonderSkill Workshop,0,0,0,0
91,10003199,Admission Fee,WonderSkill Workshop,0,0,0,0
92,10001106,Admission Fee,WonderSkill Workshop,0,0,0,0
93,10003213,Admission Fee,WonderSkill Workshop,0,0,0,0
94,10001145,Admission Fee,WonderSkill Workshop,0,0,0,0
95,10000847,Admission Fee,WonderSkill Workshop,0,0,0,0
96,10001368,Admission Fee,WonderSkill Workshop,0,0,0,0
97,10001159,Admission Fee,WonderSkill Workshop,0,0,0,0
98,10000826,Admission Fee,WonderSkill Workshop,0,0,0,0
99,10001274,Admission Fee,WonderSkill Workshop,0,0,0,0
100,10001568,Admission Fee,WonderSkill Workshop,0,0,0,0
101,10001565,Admission Fee,WonderSkill Workshop,0,0,0,0
102,10001295,Admission Fee,WonderSkill Workshop,0,0,0,0
103,10001193,Admission Fee,WonderSkill Workshop,0,0,0,0
104,10001323,Admission Fee,WonderSkill Workshop,0,0,0,0
105,10002128,Admission Fee,WonderSkill Workshop,0,0,0,0
106,10001191,Admission Fee,WonderSkill Workshop,0,0,0,0
107,10003301,Admission Fee,WonderSkill Workshop,0,0,0,0
108,10003300,Admission Fee,WonderSkill Workshop,0,0,0,0
109,10003170,Admission Fee,WonderSkill Workshop,0,0,0,0
110,10001188,Admission Fee,WonderSkill Workshop,0,0,0,0
111,10001990,Admission Fee,WonderSkill Workshop,0,0,0,0
112,10001239,Admission Fee,WonderSkill Workshop,0,0,0,0
113,10001545,Admission Fee,WonderSkill Workshop,0,0,0,0
114,10001013,Admission Fee,WonderSkill Workshop,0,0,0,0
115,10001267,Admission Fee,WonderSkill Workshop,0,0,0,0
116,10003067,Admission Fee,WonderSkill Workshop,0,0,0,0
117,10001271,Admission Fee,WonderSkill Workshop,0,0,0,0
118,10002807,Admission Fee,WonderSkill Workshop,0,0,0,0
119,10001256,Admission Fee,WonderSkill Workshop,0,0,0,0
120,10001336,Admission Fee,WonderSkill Workshop,0,0,0,0
121,10001290,Admission Fee,WonderSkill Workshop,0,0,0,0
122,10001260,Admission Fee,WonderSkill Workshop,0,0,0,0
123,10001922,Admission Fee,WonderSkill Workshop,0,0,0,0
