Sno,Admission Number,Fee Head,Fees Assigned,concession,Paid,Due
3,10003367,Annual Fund,5000,0,5000,0
5,10003365,Annual Fund,5000,0,5000,0
6,10003364,Annual Fund,5000,0,5000,0
7,10003362,Annual Fund,5000,0,5000,0
8,10003361,Annual Fund,5000,0,5000,0
9,10003360,Annual Fund,5000,0,5000,0
10,10003359,Annual Fund,5000,0,5000,0
11,10003357,Annual Fund,5000,0,5000,0
12,10003356,Annual Fund,5000,0,5000,0
13,10003368,Annual Fund,5000,0,5000,0
14,10003369,Annual Fund,5000,0,5000,0
15,10003370,Annual Fund,5000,0,5000,0
16,10003371,Annual Fund,5000,0,5000,0
17,10003372,Annual Fund,5000,0,5000,0
18,10003373,Annual Fund,5000,5000,0,0
19,10003374,Annual Fund,5000,0,5000,0
20,10003307,Annual Fund,5000,5000,0,0
21,10003299,Annual Fund,5000,0,5000,0
22,10003313,Annual Fund,5000,0,5000,0
23,10003221,Annual Fund,5000,0,5000,0
24,10000913,Annual Fund,5000,0,5000,0
25,10001670,Annual Fund,5000,0,5000,0
26,10001371,Annual Fund,5000,0,5000,0
27,10002939,Annual Fund,5000,0,5000,0
28,10001546,Annual Fund,5000,0,5000,0
29,10001190,Annual Fund,5000,0,5000,0
30,10000820,Annual Fund,5000,0,5000,0
31,10000846,Annual Fund,5000,5000,0,0
32,10000963,Annual Fund,5000,5000,0,0
33,10001347,Annual Fund,5000,0,5000,0
34,10000940,Annual Fund,5000,0,5000,0
35,10001911,Annual Fund,5000,0,5000,0
36,10001166,Annual Fund,5000,0,5000,0
37,10000951,Annual Fund,5000,0,5000,0
38,10000814,Annual Fund,5000,0,5000,0
39,10000888,Annual Fund,5000,0,5000,0
40,10001697,Annual Fund,5000,0,5000,0
41,10001345,Annual Fund,5000,0,5000,0
42,10001933,Annual Fund,5000,0,5000,0
43,10003285,Annual Fund,5000,0,5000,0
44,10003284,Annual Fund,5000,0,5000,0
45,10001726,Annual Fund,5000,0,5000,0
46,10000967,Annual Fund,5000,0,5000,0
47,10001886,Annual Fund,5000,0,5000,0
48,10000952,Annual Fund,5000,0,5000,0
49,10003262,Annual Fund,5000,0,5000,0
50,10000907,Annual Fund,5000,5000,0,0
51,10000860,Annual Fund,5000,0,5000,0
52,10001367,Annual Fund,5000,0,5000,0
53,10001119,Annual Fund,5000,0,5000,0
54,10003076,Annual Fund,5000,0,5000,0
55,10001010,Annual Fund,5000,0,5000,0
56,10001156,Annual Fund,5000,0,5000,0
57,10000815,Annual Fund,5000,0,5000,0
58,10000933,Annual Fund,5000,5000,0,0
59,10001211,Annual Fund,5000,0,5000,0
60,10000817,Annual Fund,5000,0,0,5000
61,10003244,Annual Fund,5000,0,5000,0
62,10000884,Annual Fund,5000,0,5000,0
63,10001268,Annual Fund,5000,0,5000,0
64,10000898,Annual Fund,5000,0,5000,0
65,10001075,Annual Fund,5000,4000,1000,0
66,10001437,Annual Fund,5000,0,5000,0
67,10001231,Annual Fund,5000,0,0,5000
68,10003302,Annual Fund,5000,4000,1000,0
69,10003287,Annual Fund,5000,0,5000,0
70,10001187,Annual Fund,5000,0,5000,0
71,10003109,Annual Fund,5000,0,0,5000
72,10003276,Annual Fund,5000,0,5000,0
73,10001228,Annual Fund,5000,0,5000,0
74,10001017,Annual Fund,5000,4000,1000,0
75,10000882,Annual Fund,5000,0,5000,0
76,10001152,Annual Fund,5000,0,5000,0
77,10001401,Annual Fund,5000,4000,1000,0
78,10000938,Annual Fund,5000,0,5000,0
79,10001059,Annual Fund,5000,0,5000,0
80,10000924,Annual Fund,5000,0,0,5000
81,10000842,Annual Fund,5000,0,5000,0
82,10001149,Annual Fund,5000,0,5000,0
83,10000965,Annual Fund,5000,5000,0,0
84,10000941,Annual Fund,5000,0,5000,0
85,10002883,Annual Fund,5000,0,5000,0
86,10001057,Annual Fund,5000,0,5000,0
87,10000818,Annual Fund,5000,5000,0,0
88,10000939,Annual Fund,5000,0,5000,0
89,10002492,Annual Fund,5000,0,5000,0
90,10001251,Annual Fund,5000,0,5000,0
91,10003199,Annual Fund,5000,0,5000,0
92,10001106,Annual Fund,5000,0,5000,0
93,10003213,Annual Fund,5000,0,5000,0
94,10001145,Annual Fund,5000,0,5000,0
95,10000847,Annual Fund,5000,0,0,5000
96,10001368,Annual Fund,5000,0,5000,0
97,10001159,Annual Fund,5000,0,5000,0
98,10000826,Annual Fund,5000,0,5000,0
99,10001274,Annual Fund,5000,0,5000,0
100,10001568,Annual Fund,5000,4000,1000,0
101,10001565,Annual Fund,5000,0,5000,0
102,10001295,Annual Fund,5000,4000,1000,0
103,10001193,Annual Fund,5000,0,5000,0
104,10001323,Annual Fund,5000,0,5000,0
105,10002128,Annual Fund,5000,0,5000,0
106,10001191,Annual Fund,5000,0,5000,0
107,10003301,Annual Fund,5000,0,5000,0
108,10003300,Annual Fund,5000,0,5000,0
109,10003170,Annual Fund,5000,0,5000,0
110,10001188,Annual Fund,5000,0,5000,0
111,10001990,Annual Fund,5000,0,5000,0
112,10001239,Annual Fund,5000,0,5000,0
113,10001545,Annual Fund,5000,0,5000,0
114,10001013,Annual Fund,5000,0,0,5000
115,10001267,Annual Fund,5000,0,5000,0
116,10003067,Annual Fund,5000,0,5000,0
117,10001271,Annual Fund,5000,0,5000,0
118,10002807,Annual Fund,5000,0,5000,0
119,10001256,Annual Fund,5000,0,5000,0
120,10001336,Annual Fund,5000,0,5000,0
121,10001290,Annual Fund,5000,0,5000,0
122,10001260,Annual Fund,5000,0,5000,0
123,10001922,Annual Fund,5000,0,5000,0
124,10001712,Annual Fund,5000,0,5000,0
