Sno,Admission Number,Fee Head,Fees Assigned,concession,Paid,Due
3,10003367,CAPS Workshop,0,0,0,0
5,10003365,CAPS Workshop,0,0,0,0
6,10003364,CAPS Workshop,0,0,0,0
7,10003362,CAPS Workshop,2000,0,2000,0
8,10003361,CAPS Workshop,0,0,0,0
9,10003360,CAPS Workshop,0,0,0,0
10,10003359,CAPS Workshop,0,0,0,0
11,10003357,CAPS Workshop,0,0,0,0
12,10003356,CAPS Workshop,0,0,0,0
13,10003368,CAPS Workshop,0,0,0,0
14,10003369,CAPS Workshop,0,0,0,0
15,10003370,CAPS Workshop,0,0,0,0
16,10003371,CAPS Workshop,0,0,0,0
17,10003372,CAPS Workshop,0,0,0,0
18,10003373,CAPS Workshop,0,0,0,0
19,10003374,CAPS Workshop,0,0,0,0
20,10003307,CAPS Workshop,0,0,0,0
21,10003299,CAPS Workshop,0,0,0,0
22,10003313,CAPS Workshop,0,0,0,0
23,10003221,CAPS Workshop,2000,0,2000,0
24,10000913,CAPS Workshop,2000,0,2000,0
25,10001670,CAPS Workshop,2000,0,2000,0
26,10001371,CAPS Workshop,2000,0,2000,0
27,10002939,CAPS Workshop,2000,0,2000,0
28,10001546,CAPS Workshop,2000,0,2000,0
29,10001190,CAPS Workshop,2000,0,2000,0
30,10000820,CAPS Workshop,2000,0,2000,0
31,10000846,CAPS Workshop,2000,0,2000,0
32,10000963,CAPS Workshop,2000,0,2000,0
33,10001347,CAPS Workshop,2000,0,2000,0
34,10000940,CAPS Workshop,2000,0,2000,0
35,10001911,CAPS Workshop,2000,0,2000,0
36,10001166,CAPS Workshop,2000,0,2000,0
37,10000951,CAPS Workshop,2000,0,2000,0
38,10000814,CAPS Workshop,2000,0,2000,0
39,10000888,CAPS Workshop,2000,0,2000,0
40,10001697,CAPS Workshop,2000,0,2000,0
41,10001345,CAPS Workshop,2000,0,2000,0
42,10001933,CAPS Workshop,2000,0,2000,0
43,10003285,CAPS Workshop,2000,0,2000,0
44,10003284,CAPS Workshop,2000,0,2000,0
45,10001726,CAPS Workshop,2000,0,2000,0
46,10000967,CAPS Workshop,2000,0,2000,0
47,10001886,CAPS Workshop,2000,0,2000,0
48,10000952,CAPS Workshop,2000,0,2000,0
49,10003262,CAPS Workshop,2000,0,2000,0
50,10000907,CAPS Workshop,2000,0,2000,0
51,10000860,CAPS Workshop,2000,0,2000,0
52,10001367,CAPS Workshop,2000,0,2000,0
53,10001119,CAPS Workshop,2000,0,2000,0
54,10003076,CAPS Workshop,2000,0,2000,0
55,10001010,CAPS Workshop,2000,0,2000,0
56,10001156,CAPS Workshop,2000,0,2000,0
57,10000815,CAPS Workshop,2000,0,2000,0
58,10000933,CAPS Workshop,2000,0,2000,0
59,10001211,CAPS Workshop,2000,0,2000,0
60,10000817,CAPS Workshop,2000,0,0,2000
61,10003244,CAPS Workshop,2000,0,2000,0
62,10000884,CAPS Workshop,2000,0,2000,0
63,10001268,CAPS Workshop,2000,0,2000,0
64,10000898,CAPS Workshop,2000,0,2000,0
65,10001075,CAPS Workshop,2000,0,0,2000
66,10001437,CAPS Workshop,2000,0,2000,0
67,10001231,CAPS Workshop,2000,0,0,2000
68,10003302,CAPS Workshop,2000,0,0,2000
69,10003287,CAPS Workshop,2000,0,2000,0
70,10001187,CAPS Workshop,2000,0,2000,0
71,10003109,CAPS Workshop,2000,0,2000,0
72,10003276,CAPS Workshop,2000,0,2000,0
73,10001228,CAPS Workshop,2000,0,2000,0
74,10001017,CAPS Workshop,2000,0,2000,0
75,10000882,CAPS Workshop,2000,0,2000,0
76,10001152,CAPS Workshop,2000,0,2000,0
77,10001401,CAPS Workshop,2000,0,0,2000
78,10000938,CAPS Workshop,2000,0,2000,0
79,10001059,CAPS Workshop,2000,0,2000,0
80,10000924,CAPS Workshop,2000,0,1,1999
81,10000842,CAPS Workshop,2000,0,2000,0
82,10001149,CAPS Workshop,2000,0,2000,0
83,10000965,CAPS Workshop,2000,0,2000,0
84,10000941,CAPS Workshop,2000,0,2000,0
85,10002883,CAPS Workshop,2000,0,2000,0
86,10001057,CAPS Workshop,2000,0,2000,0
87,10000818,CAPS Workshop,2000,0,2000,0
88,10000939,CAPS Workshop,2000,0,2000,0
89,10002492,CAPS Workshop,2000,0,2000,0
90,10001251,CAPS Workshop,2000,0,0,2000
91,10003199,CAPS Workshop,2000,0,2000,0
92,10001106,CAPS Workshop,2000,0,2000,0
93,10003213,CAPS Workshop,2000,0,2000,0
94,10001145,CAPS Workshop,2000,0,2000,0
95,10000847,CAPS Workshop,2000,0,0,2000
96,10001368,CAPS Workshop,2000,0,2000,0
97,10001159,CAPS Workshop,2000,0,2000,0
98,10000826,CAPS Workshop,2000,0,2000,0
99,10001274,CAPS Workshop,2000,0,2000,0
100,10001568,CAPS Workshop,2000,0,2000,0
101,10001565,CAPS Workshop,2000,0,2000,0
102,10001295,CAPS Workshop,2000,0,2000,0
103,10001193,CAPS Workshop,2000,0,2000,0
104,10001323,CAPS Workshop,2000,0,2000,0
105,10002128,CAPS Workshop,2000,0,2000,0
106,10001191,CAPS Workshop,2000,0,2000,0
107,10003301,CAPS Workshop,2000,0,2000,0
108,10003300,CAPS Workshop,2000,0,2000,0
109,10003170,CAPS Workshop,2000,0,2000,0
110,10001188,CAPS Workshop,2000,0,2000,0
111,10001990,CAPS Workshop,2000,0,2000,0
112,10001239,CAPS Workshop,2000,0,2000,0
113,10001545,CAPS Workshop,2000,0,2000,0
114,10001013,CAPS Workshop,2000,0,0,2000
115,10001267,CAPS Workshop,2000,0,2000,0
116,10003067,CAPS Workshop,2000,0,2000,0
117,10001271,CAPS Workshop,2000,0,2000,0
118,10002807,CAPS Workshop,2000,0,2000,0
119,10001256,CAPS Workshop,2000,0,2000,0
120,10001336,CAPS Workshop,2000,0,2000,0
121,10001290,CAPS Workshop,2000,0,2000,0
122,10001260,CAPS Workshop,2000,0,2000,0
123,10001922,CAPS Workshop,2000,0,2000,0
124,10001712,CAPS Workshop,2000,0,2000,0
125,10001660,CAPS Workshop,2000,0,2000,0
126,10001377,CAPS Workshop,2000,0,2000,0
127,10001135,CAPS Workshop,2000,0,2000,0
128,10001303,CAPS Workshop,2000,0,2000,0
129,10001321,CAPS Workshop,2000,0,2000,0
130,10001208,CAPS Workshop,2000,0,2000,0
131,10001142,CAPS Workshop,2000,0,2000,0
132,10000899,CAPS Workshop,2000,0,2000,0
133,10001248,CAPS Workshop,2000,0,2000,0
134,10003273,CAPS Workshop,2000,0,2000,0
135,10001309,CAPS Workshop,2000,0,2000,0
136,10003169,CAPS Workshop,2000,0,2000,0
137,10003150,CAPS Workshop,2000,0,2000,0
138,10001280,CAPS Workshop,2000,0,2000,0
139,10002827,CAPS Workshop,2000,0,2000,0
140,10001127,CAPS Workshop,2000,0,2000,0
141,10001936,CAPS Workshop,2000,0,2000,0
142,10002160,CAPS Workshop,2000,0,2000,0
143,10001307,CAPS Workshop,2000,0,2000,0
144,10001581,CAPS Workshop,2000,0,2000,0
145,10001337,CAPS Workshop,2000,0,2000,0
146,10002327,CAPS Workshop,2000,0,2000,0
147,10002372,CAPS Workshop,2000,0,2000,0
148,10001227,CAPS Workshop,2000,0,0,2000
149,10001384,CAPS Workshop,2000,0,2000,0
150,10001686,CAPS Workshop,2000,0,2000,0
151,10001457,CAPS Workshop,2000,0,2000,0
152,10001326,CAPS Workshop,2000,0,2000,0
153,10002157,CAPS Workshop,2000,0,2000,0
154,10001324,CAPS Workshop,2000,0,2000,0
155,10001713,CAPS Workshop,2000,0,2000,0
156,10001494,CAPS Workshop,2000,0,2000,0
157,10002703,CAPS Workshop,2000,0,2000,0
158,10001862,CAPS Workshop,2000,0,2000,0
159,10001292,CAPS Workshop,2000,0,2000,0
160,10001953,CAPS Workshop,2000,0,2000,0
161,10001844,CAPS Workshop,2000,0,2000,0
162,10003303,CAPS Workshop,2000,0,2000,0
163,10001711,CAPS Workshop,2000,0,2000,0
164,10003133,CAPS Workshop,2000,0,2000,0
165,10001420,CAPS Workshop,2000,0,2000,0
166,10001181,CAPS Workshop,2000,0,2000,0
167,10001129,CAPS Workshop,2000,0,2000,0
168,10001255,CAPS Workshop,2000,0,2000,0
169,10001286,CAPS Workshop,2000,0,2000,0
170,10001234,CAPS Workshop,2000,0,2000,0
171,10001233,CAPS Workshop,2000,0,2000,0
172,10001243,CAPS Workshop,2000,0,2000,0
173,10001340,CAPS Workshop,2000,0,2000,0
174,10002860,CAPS Workshop,2000,0,2000,0
175,10002102,CAPS Workshop,2000,0,2000,0
176,10001535,CAPS Workshop,2000,0,2000,0
177,10002800,CAPS Workshop,2000,0,2000,0
178,10001157,CAPS Workshop,2000,0,2000,0
179,10002617,CAPS Workshop,2000,0,2000,0
180,10002104,CAPS Workshop,2000,0,2000,0
181,10001242,CAPS Workshop,2000,0,2000,0
182,10001293,CAPS Workshop,2000,0,2000,0
183,10002302,CAPS Workshop,2000,0,2000,0
184,10001131,CAPS Workshop,2000,0,2000,0
185,10001311,CAPS Workshop,2000,0,2000,0
186,10001418,CAPS Workshop,2000,0,2000,0
187,10001310,CAPS Workshop,2000,0,2000,0
188,10001451,CAPS Workshop,2000,0,2000,0
189,10001314,CAPS Workshop,2000,0,2000,0
190,10002296,CAPS Workshop,2000,0,2000,0
191,10001854,CAPS Workshop,2000,0,2000,0
192,10001408,CAPS Workshop,2000,0,0,2000
193,10001514,CAPS Workshop,2000,0,2000,0
194,10002962,CAPS Workshop,2000,0,2000,0
195,10001512,CAPS Workshop,2000,0,2000,0
196,10001335,CAPS Workshop,2000,0,2000,0
197,10001455,CAPS Workshop,2000,0,2000,0
198,10002986,CAPS Workshop,2000,0,2000,0
199,10003029,CAPS Workshop,2000,0,2000,0
200,10001304,CAPS Workshop,2000,0,2000,0
201,10002785,CAPS Workshop,2000,0,2000,0
202,10001843,CAPS Workshop,2000,0,2000,0
203,10001339,CAPS Workshop,2000,0,2000,0
204,10001669,CAPS Workshop,2000,0,2000,0
205,10001859,CAPS Workshop,2000,0,2000,0
206,10001528,CAPS Workshop,2000,0,2000,0
207,10001674,CAPS Workshop,2000,0,2000,0
208,10001328,CAPS Workshop,2000,0,2000,0
209,10001778,CAPS Workshop,2000,0,2000,0
210,10001454,CAPS Workshop,2000,0,2000,0
211,10001460,CAPS Workshop,2000,0,2000,0
212,10001458,CAPS Workshop,2000,0,2000,0
213,10001453,CAPS Workshop,2000,0,2000,0
214,10001322,CAPS Workshop,2000,0,2000,0
215,10001318,CAPS Workshop,2000,0,2000,0
216,10001710,CAPS Workshop,2000,0,2000,0
217,10001325,CAPS Workshop,2000,0,2000,0
218,10001481,CAPS Workshop,2000,2000,0,0
219,10001557,CAPS Workshop,2000,0,2000,0
220,10001737,CAPS Workshop,2000,0,2000,0
221,10003294,CAPS Workshop,2000,0,2000,0
222,10001591,CAPS Workshop,2000,0,2000,0
223,10001441,CAPS Workshop,2000,0,2000,0
224,10003240,CAPS Workshop,2000,0,2000,0
225,10003161,CAPS Workshop,2000,0,2000,0
226,10001471,CAPS Workshop,2000,0,2000,0
227,10001536,CAPS Workshop,2000,0,2000,0
228,10002991,CAPS Workshop,2000,0,2000,0
229,10001714,CAPS Workshop,2000,0,2000,0
230,10001531,CAPS Workshop,2000,0,2000,0
231,10001576,CAPS Workshop,2000,0,0,2000
232,10001537,CAPS Workshop,2000,0,2000,0
233,10001501,CAPS Workshop,2000,0,2000,0
234,10003092,CAPS Workshop,2000,0,2000,0
235,10001300,CAPS Workshop,2000,0,2000,0
236,10002340,CAPS Workshop,2000,0,2000,0
237,10001464,CAPS Workshop,2000,0,2000,0
238,10002097,CAPS Workshop,2000,0,2000,0
239,10001960,CAPS Workshop,2000,0,0,2000
240,10001863,CAPS Workshop,2000,0,2000,0
241,10001582,CAPS Workshop,2000,0,2000,0
242,10001694,CAPS Workshop,2000,0,2000,0
243,10001298,CAPS Workshop,2000,0,2000,0
244,10001684,CAPS Workshop,2000,0,2000,0
245,10001490,CAPS Workshop,2000,0,2000,0
246,10001698,CAPS Workshop,2000,0,2000,0
247,10001370,CAPS Workshop,2000,0,2000,0
248,10001305,CAPS Workshop,2000,0,2000,0
249,10001452,CAPS Workshop,2000,0,2000,0
250,10001667,CAPS Workshop,2000,0,2000,0
251,10003279,CAPS Workshop,2000,0,2000,0
252,10001317,CAPS Workshop,2000,0,2000,0
253,10003096,CAPS Workshop,2000,0,0,2000
254,10002941,CAPS Workshop,2000,0,2000,0
255,10001381,CAPS Workshop,2000,0,2000,0
256,10001857,CAPS Workshop,2000,0,2000,0
257,10001751,CAPS Workshop,2000,0,2000,0
258,10001462,CAPS Workshop,2000,0,2000,0
259,10002196,CAPS Workshop,2000,0,2000,0
260,10001331,CAPS Workshop,2000,0,2000,0
261,10001563,CAPS Workshop,2000,0,2000,0
262,10001489,CAPS Workshop,2000,0,2000,0
263,10002997,CAPS Workshop,2000,0,2000,0
264,10002972,CAPS Workshop,2000,0,2000,0
265,10001308,CAPS Workshop,2000,0,2000,0
266,10002565,CAPS Workshop,2000,0,2000,0
267,10002486,CAPS Workshop,2000,0,2000,0
268,10001574,CAPS Workshop,2000,0,2000,0
269,10002214,CAPS Workshop,2000,0,2000,0
270,10001892,CAPS Workshop,2000,0,2000,0
271,10002186,CAPS Workshop,2000,0,2000,0
272,10001443,CAPS Workshop,2000,0,2000,0
273,10001375,CAPS Workshop,2000,0,2000,0
274,10001682,CAPS Workshop,2000,0,2000,0
275,10001333,CAPS Workshop,2000,0,2000,0
276,10001580,CAPS Workshop,2000,0,2000,0
277,10001509,CAPS Workshop,2000,0,2000,0
278,10002711,CAPS Workshop,2000,0,2000,0
279,10001543,CAPS Workshop,2000,0,2000,0
280,10001642,CAPS Workshop,2000,0,2000,0
281,10001515,CAPS Workshop,2000,0,2000,0
282,10001606,CAPS Workshop,2000,0,2000,0
283,10003236,CAPS Workshop,2000,0,2000,0
284,10001474,CAPS Workshop,2000,0,2000,0
285,10001442,CAPS Workshop,2000,0,2000,0
286,10001477,CAPS Workshop,2000,0,2000,0
287,10001643,CAPS Workshop,2000,0,2000,0
288,10001482,CAPS Workshop,2000,0,2000,0
289,10002920,CAPS Workshop,2000,0,2000,0
290,10001579,CAPS Workshop,2000,0,2000,0
291,10002851,CAPS Workshop,2000,0,2000,0
292,10001630,CAPS Workshop,2000,0,2000,0
293,10001784,CAPS Workshop,2000,0,2000,0
294,10001756,CAPS Workshop,2000,0,2000,0
295,10002133,CAPS Workshop,2000,0,0,2000
296,10002165,CAPS Workshop,2000,2000,0,0
297,10001855,CAPS Workshop,2000,0,2000,0
298,10001770,CAPS Workshop,2000,0,2000,0
299,10001518,CAPS Workshop,2000,0,2000,0
300,10001544,CAPS Workshop,2000,0,2000,0
301,10001720,CAPS Workshop,2000,0,2000,0
302,10002150,CAPS Workshop,2000,0,2000,0
303,10002075,CAPS Workshop,2000,0,2000,0
304,10002084,CAPS Workshop,2000,0,2000,0
305,10001507,CAPS Workshop,2000,0,2000,0
306,10001476,CAPS Workshop,2000,0,2000,0
307,10001479,CAPS Workshop,2000,0,2000,0
308,10001615,CAPS Workshop,2000,0,2000,0
309,10001661,CAPS Workshop,2000,0,2000,0
310,10001566,CAPS Workshop,2000,0,2000,0
311,10001525,CAPS Workshop,2000,0,2000,0
312,10003238,CAPS Workshop,2000,0,2000,0
313,10003214,CAPS Workshop,2000,0,2000,0
314,10003210,CAPS Workshop,2000,0,2000,0
315,10003066,CAPS Workshop,2000,0,2000,0
