Sno,Admission Number,Fee Head,Fees Assigned,concession,Paid,Due
3,10003367,Parent Orientation,1000,0,1000,0
5,10003365,Parent Orientation,1000,0,1000,0
6,10003364,Parent Orientation,1000,0,1000,0
7,10003362,Parent Orientation,1000,0,1000,0
8,10003361,Parent Orientation,1000,0,1000,0
9,10003360,Parent Orientation,1000,0,1000,0
10,10003359,Parent Orientation,1000,0,1000,0
11,10003357,Parent Orientation,1000,0,1000,0
12,10003356,Parent Orientation,1000,0,1000,0
13,10003368,Parent Orientation,1000,0,1000,0
14,10003369,Parent Orientation,1000,0,1000,0
15,10003370,Parent Orientation,1000,0,1000,0
16,10003371,Parent Orientation,1000,0,1000,0
17,10003372,Parent Orientation,1000,0,1000,0
18,10003373,Parent Orientation,1000,0,1000,0
19,10003374,Parent Orientation,1000,0,1000,0
20,10003307,Parent Orientation,1000,1000,0,0
21,10003299,Parent Orientation,1000,1000,0,0
22,10003313,Parent Orientation,1000,0,1000,0
23,10003221,Parent Orientation,1000,1000,0,0
24,10000913,Parent Orientation,1000,0,1000,0
25,10001670,Parent Orientation,1000,0,1000,0
26,10001371,Parent Orientation,1000,0,1000,0
27,10002939,Parent Orientation,1000,0,1000,0
28,10001546,Parent Orientation,1000,0,1000,0
29,10001190,Parent Orientation,1000,0,1000,0
30,10000820,Parent Orientation,1000,0,1000,0
31,10000846,Parent Orientation,1000,0,1000,0
32,10000963,Parent Orientation,1000,0,1000,0
33,10001347,Parent Orientation,1000,0,1000,0
34,10000940,Parent Orientation,1000,0,1000,0
35,10001911,Parent Orientation,1000,0,1000,0
36,10001166,Parent Orientation,1000,0,1000,0
37,10000951,Parent Orientation,1000,1000,0,0
38,10000814,Parent Orientation,1000,0,1000,0
39,10000888,Parent Orientation,1000,0,1000,0
40,10001697,Parent Orientation,1000,0,1000,0
41,10001345,Parent Orientation,1000,0,1000,0
42,10001933,Parent Orientation,1000,0,1000,0
43,10003285,Parent Orientation,1000,0,1000,0
44,10003284,Parent Orientation,1000,0,1000,0
45,10001726,Parent Orientation,1000,0,1000,0
46,10000967,Parent Orientation,1000,0,1000,0
47,10001886,Parent Orientation,1000,0,1000,0
48,10000952,Parent Orientation,1000,0,1000,0
49,10003262,Parent Orientation,1000,0,1000,0
50,10000907,Parent Orientation,1000,0,1000,0
51,10000860,Parent Orientation,1000,0,1000,0
52,10001367,Parent Orientation,1000,0,1000,0
53,10001119,Parent Orientation,1000,0,1000,0
54,10003076,Parent Orientation,1000,0,1000,0
55,10001010,Parent Orientation,1000,0,1000,0
56,10001156,Parent Orientation,1000,0,1000,0
57,10000815,Parent Orientation,1000,0,1000,0
58,10000933,Parent Orientation,1000,0,1000,0
59,10001211,Parent Orientation,1000,0,1000,0
60,10000817,Parent Orientation,1000,0,0,1000
61,10003244,Parent Orientation,1000,0,1000,0
62,10000884,Parent Orientation,1000,0,1000,0
63,10001268,Parent Orientation,1000,0,1000,0
64,10000898,Parent Orientation,1000,0,1000,0
65,10001075,Parent Orientation,1000,0,1000,0
66,10001437,Parent Orientation,1000,0,1000,0
67,10001231,Parent Orientation,1000,0,0,1000
68,10003302,Parent Orientation,1000,0,1000,0
69,10003287,Parent Orientation,1000,0,1000,0
70,10001187,Parent Orientation,1000,0,1000,0
71,10003109,Parent Orientation,1000,0,1000,0
72,10003276,Parent Orientation,1000,0,1000,0
73,10001228,Parent Orientation,1000,0,1000,0
74,10001017,Parent Orientation,1000,0,1000,0
75,10000882,Parent Orientation,1000,0,0,1000
76,10001152,Parent Orientation,1000,0,1000,0
77,10001401,Parent Orientation,1000,0,1000,0
78,10000938,Parent Orientation,1000,0,1000,0
79,10001059,Parent Orientation,1000,0,1000,0
80,10000924,Parent Orientation,1000,1000,0,0
81,10000842,Parent Orientation,1000,0,1000,0
82,10001149,Parent Orientation,1000,1000,0,0
83,10000965,Parent Orientation,1000,0,1000,0
84,10000941,Parent Orientation,1000,0,1000,0
85,10002883,Parent Orientation,1000,0,1000,0
86,10001057,Parent Orientation,1000,0,1000,0
87,10000818,Parent Orientation,1000,0,1000,0
88,10000939,Parent Orientation,1000,0,1000,0
89,10002492,Parent Orientation,1000,0,1000,0
90,10001251,Parent Orientation,1000,0,0,1000
