Sno,Admission Number,Fee Head,Fees Assigned,concession,Paid,Due
3,10003367,Security,5000,0,5000,0
5,10003365,Security,5000,0,5000,0
6,10003364,Security,5000,0,5000,0
7,10003362,Security,5000,0,5000,0
8,10003361,Security,5000,0,5000,0
9,10003360,Security,5000,0,5000,0
10,10003359,Security,5000,0,5000,0
11,10003357,Security,5000,0,5000,0
12,10003356,Security,5000,0,5000,0
13,10003368,Security,5000,0,5000,0
14,10003369,Security,5000,0,5000,0
15,10003370,Security,5000,0,5000,0
16,10003371,Security,5000,0,5000,0
17,10003372,Security,5000,0,5000,0
18,10003373,Security,5000,0,5000,0
19,10003374,Security,5000,0,5000,0
20,10003307,Security,0,0,0,0
21,10003299,Security,0,0,0,0
22,10003313,Security,0,0,0,0
23,10003221,Security,0,0,0,0
24,10000913,Security,0,0,0,0
25,10001670,Security,0,0,0,0
26,10001371,Security,0,0,0,0
27,10002939,Security,0,0,0,0
28,10001546,Security,0,0,0,0
29,10001190,Security,0,0,0,0
30,10000820,Security,0,0,0,0
31,10000846,Security,0,0,0,0
32,10000963,Security,0,0,0,0
33,10001347,Security,0,0,0,0
34,10000940,Security,0,0,0,0
35,10001911,Security,0,0,0,0
36,10001166,Security,0,0,0,0
37,10000951,Security,0,0,0,0
38,10000814,Security,0,0,0,0
39,10000888,Security,0,0,0,0
40,10001697,Security,0,0,0,0
41,10001345,Security,0,0,0,0
42,10001933,Security,0,0,0,0
43,10003285,Security,0,0,0,0
44,10003284,Security,0,0,0,0
45,10001726,Security,0,0,0,0
46,10000967,Security,0,0,0,0
47,10001886,Security,0,0,0,0
48,10000952,Security,0,0,0,0
49,10003262,Security,0,0,0,0
50,10000907,Security,0,0,0,0
51,10000860,Security,0,0,0,0
52,10001367,Security,0,0,0,0
53,10001119,Security,0,0,0,0
54,10003076,Security,0,0,0,0
55,10001010,Security,0,0,0,0
56,10001156,Security,0,0,0,0
57,10000815,Security,0,0,0,0
58,10000933,Security,0,0,0,0
59,10001211,Security,0,0,0,0
60,10000817,Security,0,0,0,0
61,10003244,Security,0,0,0,0
62,10000884,Security,0,0,0,0
63,10001268,Security,0,0,0,0
64,10000898,Security,0,0,0,0
65,10001075,Security,0,0,0,0
66,10001437,Security,0,0,0,0
67,10001231,Security,0,0,0,0
