Sno,Admission Number,Fee Head,Fees Assigned,concession,Paid,Due
3,10003367,Term Charges,8600,0,4300,4300
5,10003365,Term Charges,3800,0,1900,1900
6,10003364,Term Charges,8600,300,4000,4300
7,10003362,Term Charges,9200,0,9200,0
8,10003361,Term Charges,8300,0,4000,4300
9,10003360,Term Charges,3800,0,1900,1900
10,10003359,Term Charges,8300,0,4000,4300
11,10003357,Term Charges,8300,0,4000,4300
12,10003356,Term Charges,3800,0,1900,1900
13,10003368,Term Charges,3800,0,1900,1900
14,10003369,Term Charges,3800,0,1900,1900
15,10003370,Term Charges,3800,0,1900,1900
16,10003371,Term Charges,3800,0,1900,1900
17,10003372,Term Charges,3800,0,1900,1900
18,10003373,Term Charges,8600,0,4300,4300
19,10003374,Term Charges,8600,0,4300,4300
20,10003307,Term Charges,3800,1900,1900,0
21,10003299,Term Charges,3800,0,1900,1900
22,10003313,Term Charges,3800,0,1900,1900
23,10003221,Term Charges,8000,0,4000,4000
24,10000913,Term Charges,8000,0,4000,4000
25,10001670,Term Charges,8000,0,4000,4000
26,10001371,Term Charges,8000,0,4000,4000
27,10002939,Term Charges,8000,0,4000,4000
28,10001546,Term Charges,8000,0,4000,4000
29,10001190,Term Charges,8000,0,4000,4000
30,10000820,Term Charges,8000,0,4000,4000
31,10000846,Term Charges,8000,0,4000,4000
32,10000963,Term Charges,8000,0,4000,4000
33,10001347,Term Charges,8000,0,4000,4000
34,10000940,Term Charges,8000,0,4000,4000
35,10001911,Term Charges,8000,0,4000,4000
36,10001166,Term Charges,8000,0,4000,4000
37,10000951,Term Charges,8000,0,4000,4000
38,10000814,Term Charges,8000,0,4000,4000
39,10000888,Term Charges,8000,0,4000,4000
40,10001697,Term Charges,8000,0,4000,4000
41,10001345,Term Charges,8000,0,4000,4000
42,10001933,Term Charges,8000,0,4000,4000
43,10003285,Term Charges,8000,0,4000,4000
44,10003284,Term Charges,8000,0,4000,4000
45,10001726,Term Charges,8000,0,4000,4000
46,10000967,Term Charges,8000,0,4000,4000
47,10001886,Term Charges,8000,0,4000,4000
48,10000952,Term Charges,8000,0,8000,0
49,10003262,Term Charges,8000,0,4000,4000
50,10000907,Term Charges,8000,4000,4000,0
51,10000860,Term Charges,8000,0,4000,4000
52,10001367,Term Charges,8000,0,4000,4000
53,10001119,Term Charges,8000,0,4000,4000
54,10003076,Term Charges,8000,0,4000,4000
55,10001010,Term Charges,8000,0,4000,4000
56,10001156,Term Charges,8000,0,4000,4000
57,10000815,Term Charges,8000,0,4000,4000
58,10000933,Term Charges,8000,0,4000,4000
59,10001211,Term Charges,8000,0,4000,4000
60,10000817,Term Charges,8000,0,0,8000
61,10003244,Term Charges,8000,0,4000,4000
62,10000884,Term Charges,6600,0,3300,3300
63,10001268,Term Charges,6600,0,3300,3300
64,10000898,Term Charges,6600,0,3300,3300
65,10001075,Term Charges,6600,0,6600,0
66,10001437,Term Charges,6600,0,3300,3300
67,10001231,Term Charges,6600,0,0,6600
68,10003302,Term Charges,6600,0,6600,0
69,10003287,Term Charges,6600,0,3300,3300
70,10001187,Term Charges,6600,0,3300,3300
71,10003109,Term Charges,6600,0,3300,3300
72,10003276,Term Charges,6600,0,3300,3300
73,10001228,Term Charges,6600,0,3300,3300
74,10001017,Term Charges,6600,0,6600,0
75,10000882,Term Charges,6600,0,3300,3300
76,10001152,Term Charges,6600,0,3300,3300
77,10001401,Term Charges,6600,0,6600,0
78,10000938,Term Charges,6600,0,3300,3300
79,10001059,Term Charges,6600,0,3300,3300
80,10000924,Term Charges,6600,0,0,6600
