Sno,Admission Number,Fee Head,Fees Assigned,concession,Paid,Due
3,10003367,Tuition Fees,42000,0,17500,24500
5,10003365,Tuition Fees,30000,0,12500,17500
6,10003364,Tuition Fees,42000,0,17500,24500
7,10003362,Tuition Fees,45600,4000,41600,0
8,10003361,Tuition Fees,42000,0,10500,31500
9,10003360,Tuition Fees,30000,4500,10625,14875
10,10003359,Tuition Fees,42000,0,17500,24500
11,10003357,Tuition Fees,42000,0,17500,24500
12,10003356,Tuition Fees,30000,0,12500,17500
13,10003368,Tuition Fees,30000,0,17500,12500
14,10003369,Tuition Fees,30000,4500,7500,18000
15,10003370,Tuition Fees,33600,0,14000,19600
16,10003371,Tuition Fees,30000,0,12500,17500
17,10003372,Tuition Fees,30000,4500,10625,14875
18,10003373,Tuition Fees,42000,4000,13500,24500
19,10003374,Tuition Fees,42000,0,24500,17500
20,10003307,Tuition Fees,30000,14625,15375,0
21,10003299,Tuition Fees,30000,4500,10625,14875
22,10003313,Tuition Fees,30000,4500,10625,14875
23,10003221,Tuition Fees,54000,0,22500,31500
24,10000913,Tuition Fees,54000,0,22500,31500
25,10001670,Tuition Fees,54000,0,13500,40500
26,10001371,Tuition Fees,54000,0,18000,36000
27,10002939,Tuition Fees,54000,0,13500,40500
28,10001546,Tuition Fees,54000,0,22500,31500
29,10001190,Tuition Fees,54000,0,22500,31500
30,10000820,Tuition Fees,54000,0,13500,40500
31,10000846,Tuition Fees,54000,0,18000,36000
32,10000963,Tuition Fees,54000,0,18000,36000
33,10001347,Tuition Fees,54000,0,31500,22500
34,10000940,Tuition Fees,54000,0,22500,31500
35,10001911,Tuition Fees,54000,0,22500,31500
36,10001166,Tuition Fees,54000,18000,15000,21000
37,10000951,Tuition Fees,54000,3000,28500,22500
38,10000814,Tuition Fees,54000,0,22500,31500
39,10000888,Tuition Fees,54000,0,22500,31500
40,10001697,Tuition Fees,54000,0,31500,22500
41,10001345,Tuition Fees,54000,0,22500,31500
42,10001933,Tuition Fees,54000,0,13500,40500
43,10003285,Tuition Fees,54000,0,31500,22500
44,10003284,Tuition Fees,54000,0,13500,40500
45,10001726,Tuition Fees,54000,0,4500,49500
46,10000967,Tuition Fees,54000,0,22500,31500
47,10001886,Tuition Fees,54000,0,13500,40500
48,10000952,Tuition Fees,54000,0,54000,0
49,10003262,Tuition Fees,54000,0,22500,31500
50,10000907,Tuition Fees,54000,27000,27000,0
51,10000860,Tuition Fees,54000,0,22500,31500
52,10001367,Tuition Fees,54000,0,22500,31500
53,10001119,Tuition Fees,54000,0,31500,22500
54,10003076,Tuition Fees,54000,0,22500,31500
55,10001010,Tuition Fees,54000,0,31500,22500
56,10001156,Tuition Fees,54000,0,22500,31500
57,10000815,Tuition Fees,54000,0,22500,31500
58,10000933,Tuition Fees,54000,0,13500,40500
59,10001211,Tuition Fees,54000,0,13500,40500
60,10000817,Tuition Fees,54000,0,0,54000
61,10003244,Tuition Fees,54000,0,31500,22500
62,10000884,Tuition Fees,51600,0,21500,30100
63,10001268,Tuition Fees,51600,6000,15500,30100
64,10000898,Tuition Fees,51600,0,12900,38700
65,10001075,Tuition Fees,51600,18000,33600,0
66,10001437,Tuition Fees,51600,0,12900,38700
67,10001231,Tuition Fees,51600,0,0,51600
68,10003302,Tuition Fees,51600,0,51600,0
69,10003287,Tuition Fees,51600,0,17200,34400
70,10001187,Tuition Fees,51600,0,12900,38700
71,10003109,Tuition Fees,51600,0,3220,48380
72,10003276,Tuition Fees,51600,0,12900,38700
73,10001228,Tuition Fees,51600,18000,14000,19600
74,10001017,Tuition Fees,51600,0,51600,0
75,10000882,Tuition Fees,51600,0,12900,38700
76,10001152,Tuition Fees,51600,0,21500,30100
77,10001401,Tuition Fees,51600,18000,33600,0
78,10000938,Tuition Fees,51600,18000,19600,14000
79,10001059,Tuition Fees,51600,0,12900,38700
80,10000924,Tuition Fees,51600,50400,0,1200
81,10000842,Tuition Fees,51600,19480,32120,0
82,10001149,Tuition Fees,51600,0,21500,30100
83,10000965,Tuition Fees,51600,12685,3440,35475
84,10000941,Tuition Fees,51600,0,17200,34400
85,10002883,Tuition Fees,51600,18000,11200,22400
86,10001057,Tuition Fees,51600,0,4300,47300
87,10000818,Tuition Fees,51600,25800,6450,19350
88,10000939,Tuition Fees,51600,0,12900,38700
89,10002492,Tuition Fees,51600,0,12900,38700
90,10001251,Tuition Fees,51600,0,0,51600
91,10003199,Tuition Fees,51600,0,21500,30100
92,10001106,Tuition Fees,51600,0,21500,30100
93,10003213,Tuition Fees,51600,0,21500,30100
94,10001145,Tuition Fees,51600,18000,11200,22400
95,10000847,Tuition Fees,51600,0,0,51600
96,10001368,Tuition Fees,51600,18000,2800,30800
97,10001159,Tuition Fees,51600,0,30100,21500
98,10000826,Tuition Fees,51600,0,4300,47300
99,10001274,Tuition Fees,51600,0,21500,30100
100,10001568,Tuition Fees,48000,0,48000,0
101,10001565,Tuition Fees,48000,0,20000,28000
102,10001295,Tuition Fees,48000,0,48000,0
103,10001193,Tuition Fees,48000,9600,3200,35200
104,10001323,Tuition Fees,48000,0,12000,36000
105,10002128,Tuition Fees,48000,7200,13600,27200
106,10001191,Tuition Fees,48000,14400,14000,19600
107,10003301,Tuition Fees,48000,0,20000,28000
108,10003300,Tuition Fees,48000,0,4000,44000
109,10003170,Tuition Fees,48000,0,20000,28000
110,10001188,Tuition Fees,48000,0,4000,44000
111,10001990,Tuition Fees,48000,0,8000,40000
112,10001239,Tuition Fees,48000,0,12000,36000
113,10001545,Tuition Fees,48000,0,4000,44000
114,10001013,Tuition Fees,48000,0,0,48000
115,10001267,Tuition Fees,48000,0,12000,36000
116,10003067,Tuition Fees,48000,0,12000,36000
117,10001271,Tuition Fees,48000,0,16000,32000
118,10002807,Tuition Fees,48000,18000,7500,22500
119,10001256,Tuition Fees,48000,0,12000,36000
120,10001336,Tuition Fees,48000,0,12000,36000
121,10001290,Tuition Fees,48000,18000,7500,22500
122,10001260,Tuition Fees,48000,0,28000,20000
123,10001922,Tuition Fees,48000,0,20000,28000
124,10001712,Tuition Fees,48000,0,12000,36000
125,10001660,Tuition Fees,48000,0,20000,28000
126,10001377,Tuition Fees,48000,0,16000,32000
127,10001135,Tuition Fees,48000,0,12000,36000
128,10001303,Tuition Fees,48000,4000,44000,0
129,10001321,Tuition Fees,48000,0,28000,20000
130,10001208,Tuition Fees,48000,0,20000,28000
131,10001142,Tuition Fees,48000,0,20000,28000
132,10000899,Tuition Fees,48000,0,4000,44000
133,10001248,Tuition Fees,48000,0,12000,36000
134,10003273,Tuition Fees,48000,0,20000,28000
135,10001309,Tuition Fees,48000,1000,19000,28000
136,10003169,Tuition Fees,48000,0,20000,28000
137,10003150,Tuition Fees,48000,7200,40800,0
138,10001280,Tuition Fees,48000,0,16000,32000
139,10002827,Tuition Fees,48000,0,20000,28000
140,10001127,Tuition Fees,48000,0,20000,28000
141,10001936,Tuition Fees,48000,0,48000,0
142,10002160,Tuition Fees,48000,0,12000,36000
143,10001307,Tuition Fees,48000,0,48000,0
144,10001581,Tuition Fees,48000,0,20000,28000
145,10001337,Tuition Fees,48000,18000,12500,17500
146,10002327,Tuition Fees,48000,0,12000,36000
147,10002372,Tuition Fees,48000,0,12000,36000
148,10001227,Tuition Fees,48000,0,0,48000
149,10001384,Tuition Fees,48000,0,20000,28000
150,10001686,Tuition Fees,48000,0,20000,28000
151,10001457,Tuition Fees,48000,4000,44000,0
152,10001326,Tuition Fees,48000,0,12000,36000
153,10002157,Tuition Fees,48000,0,20000,28000
154,10001324,Tuition Fees,48000,0,20000,28000
155,10001713,Tuition Fees,48000,0,20000,28000
156,10001494,Tuition Fees,48000,0,20000,28000
157,10002703,Tuition Fees,48000,0,20000,28000
158,10001862,Tuition Fees,48000,0,20000,28000
159,10001292,Tuition Fees,48000,0,20000,28000
160,10001953,Tuition Fees,48000,0,12000,36000
161,10001844,Tuition Fees,48000,0,20000,28000
162,10003303,Tuition Fees,48000,0,12000,36000
163,10001711,Tuition Fees,48000,0,11000,37000
