Admission Number,Date of Transaction,Invoice ID,Fee head,Fee term,Original Fee Amount,Concession Applied,Final Amount (paid),concession name,Payment Mode,Collected By ID
10003285,8/5/25,3569,Tuition Fees,September + October,9000,,9000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001512,8/5/25,3568,Tuition Fees,July + August,8000,1200,6800,Sibling Concession 15% (Custom Fixed),NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10001946,8/5/25,3567,Tuition Fees,July + August,8600,,8600,,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10001697,8/5/25,3566,Tuition Fees,September + October,9000,,9000,,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10001698,8/5/25,3565,Tuition Fees,September + October,8000,1200,6800,Sibling Concession 15% (Custom Fixed),NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10002991,8/5/25,3563,Tuition Fees,July + August,8000,,8000,,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10002559,8/5/25,3562,Annual Fund,April,5000,,5000,,Credit/Debit Card,cmd3fq0hm00037ifw68pdxd2t
10002559,8/5/25,3562,Term Charges,April,4000,,4000,,Credit/Debit Card,cmd3fq0hm00037ifw68pdxd2t
10002559,8/5/25,3562,CAPS Workshop,April,2000,,2000,,Credit/Debit Card,cmd3fq0hm00037ifw68pdxd2t
10002559,8/5/25,3562,Tuition Fees,April,4500,,4500,,Credit/Debit Card,cmd3fq0hm00037ifw68pdxd2t
10002559,8/5/25,3562,Parent Orientation,April,1000,,1000,,Credit/Debit Card,cmd3fq0hm00037ifw68pdxd2t
10001581,8/5/25,3561,Tuition Fees,July + August,8000,,8000,,Credit/Debit Card,cmd3fq0hm00037ifw68pdxd2t
10002253,8/5/25,3560,Tuition Fees,July + August,7000,1050,5950,Sibling Concession 15%,Credit/Debit Card,cmd3fq0hm00037ifw68pdxd2t
10002092,8/5/25,3559,Tuition Fees,September + October,7600,,7600,,ONLINE,
10001147,8/5/25,3558,Tuition Fees,May + June,3000,,3000,,Cash,cmd3fp3ok00027ifwvb3nbrat
10002618,8/5/25,3557,Tuition Fees,September + October,7600,,7600,,ONLINE,
10002638,8/5/25,3556,Tuition Fees,September + October,7000,1050,5950,Sibling Concession 15%,ONLINE,
10002044,8/5/25,3555,Tuition Fees,July + August,7600,1050,6550,Sibling Concession 15%,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001873,8/5/25,3554,Tuition Fees,July + August,7600,,7600,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001340,8/5/25,3553,Tuition Fees,July + August,8000,,8000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003278,8/5/25,3552,Tuition Fees,September + October,7600,,7600,,ONLINE,
10003277,8/5/25,3551,Tuition Fees,September + October,7000,1050,5950,Sibling Concession 15%,ONLINE,
10001309,8/5/25,3550,Tuition Fees,July + August,6820,,6820,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001309,8/5/25,3549,Tuition Fees,May + June,8000,1000,7000,Orientation 1000,Cash,cmd3fp3ok00027ifwvb3nbrat
10001309,8/5/25,3549,Tuition Fees,July + August,1180,,1180,,Cash,cmd3fp3ok00027ifwvb3nbrat
